Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0156580371525397","0,00076274544823618","0,0230564220306667",0,0,0,"0,186980888212018","0,000120392896514682","-2,16686088605617E-08","3,78496221692522E-08","0,000459130234544424","-1,3279962939993E-08","0,000571283279528089",0,0,0,0,0,0,package://tn13/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/base_link.STL,,than-1;floor-3;trugiu-11;trugiu-12;trugiu-9;trugiu-10;motor_support-1;motor-1;motor_support-2;motor-2;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/MG90_Rebuild.stp-2;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/mid 1.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/MG90_Arm.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/Base.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/MG90_Rebuild.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/mid 3.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/top 1.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/mid 2.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/MG90_Arm.stp-2;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/top 3.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/top 2.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/top 4.stp-1;CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/top 5.stp-1;ball_caster-1,Coordinate System10,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,"-5,2906758020721E-06","0,000207292329300446","0,00946324766819859",0,0,0,"0,0184660869771915","5,20536426827503E-06","-2,41345107864992E-10","1,2963737478275E-10","5,09539946964971E-06","-5,02729226335435E-08","8,17437250117628E-06",0,0,0,0,0,0,package://tn13/meshes/wheel_left_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/wheel_left_link.STL,,wheel-1,Coordinate System1,Axis1,wheel_left_link_joint,continuous,"-0,040580469886906","0,0653327715750934","0,01093","1,5707963267949",0,0,base_link,"0,00382648066007597",0,"0,99999267899608",,,,,,,"0,01","0,01",,,,
wheel_right_link,"2,67592658975691E-07","5,91954136996975E-06","-0,00972425576539476",0,0,0,"0,0188356493917418","5,31218090839499E-06","2,35959609226924E-11","5,3724877534623E-12","5,31270181894033E-06","1,18847294358213E-10","8,36894060910629E-06",0,0,0,0,0,0,package://tn13/meshes/wheel_right_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/wheel_right_link.STL,,wheel-2,Coordinate System2,Axis1,wheel_right_link_joint,continuous,"-0,0400804698869101","-0,0653346442335707","0,01093","1,5707963267949",0,0,base_link,"0,00382648066007597",0,"0,99999267899608",,,,,,,"0,01","0,01",,,,
lidar_link,"0,00676653011666362","-0,000207827566854599","-0,0224318722671598",0,0,0,"1,33076913637071","0,000614917940454091","-8,01984318976279E-07","0,00015824302591117","0,000960697335617224","-3,09162986587525E-06","0,00109815200027136",0,0,0,0,0,0,package://tn13/meshes/lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/lidar_link.STL,,rplidar_main-5,Coordinate System11,Axis_lidar_link_joint,lidar_link_joint,fixed,"0,00166720638818119","-0,000284750904605523","0,06363",0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,"-0,0147044597232891","5,41606455101151E-08","-0,005869470677028",0,0,0,"0,054335270667199","2,2633421635547E-05","-5,40721678479663E-12","1,45380028902577E-07","7,00114916721175E-06","1,02807140331832E-11","2,03635502398026E-05",0,0,0,0,0,0,package://tn13/meshes/camera_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/camera_link.STL,,CameraPanTiltAssy-1/CameraPanTiltAssy.stp-1/Webcam Logitech c525.stp-1,Coordinate System7,Axis_camera_link_joint,camera_link_joint,fixed,"0,115084054266437","0,00349351556494998","0,0765883580685939","2,28282302406047E-05","0,00419538228067226","-0,000255025201659847",base_link,0,0,0,,,,,,,,,,,,
imu_link,"-2,77555756156289E-17","6,93889390390723E-18","-0,0015",0,0,0,"0,00552876110196154","8,01201327713732E-07","-1,29986205481237E-22","-3,53870194733746E-39","1,14517257565508E-06","5,25238777845289E-24","1,93808076171587E-06",0,0,0,0,0,0,package://tn13/meshes/imu_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/imu_link.STL,,imusensor-2,Coordinate System12,Axis_imu_joint,imu_joint,fixed,"-0,0735304698869101","0,000450712706397433","0,00893000000000001",0,0,0,base_link,0,0,0,,,,,,,,,,,,
trutaymay_link,"-0,000561626440149815","4,85853147557044E-05","0,0480342292105829",0,0,0,"0,133680310101314","0,000142407646860895","-2,238937030027E-08","1,88854868092082E-07","0,00019612798037322","-3,17693751547738E-08","6,35632268401286E-05",0,0,0,0,0,0,package://tn13/meshes/trutaymay_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/trutaymay_link.STL,,TAYMAY1-1/khopkhong-1,Coordinate System9,Axis_trutaymay_link_joint,trutaymay_link_joint,fixed,"0,0077106770451147","-5,50440355985213E-05","0,09893",0,0,0,base_link,0,0,0,,,,,,,,,,,,
khau1_link,"-0,0179903447502425","0,0467189673033084","0,00250000000000004",0,0,0,"0,0132171399353069","1,15876049121091E-05","4,17427930050841E-06","5,24844575541965E-24","2,35486991829859E-06","-1,02196109148095E-22","1,38874034140106E-05",0,0,0,0,0,0,package://tn13/meshes/khau1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/khau1_link.STL,,khopmot-1,Coordinate System3,Axis2,khau1_link_joint,revolute,"-0,00059275","0,0025541","0,09","1,5708",0,0,trutaymay_link,0,0,1,1,1,"-0,5","0,5",,,"0,01","0,01",,,,
khau2_link,"0,0352022113259505","0,0354188914555961","-0,0025",0,0,0,"0,0132171399353069","7,00942875010884E-06","-6,22366435205776E-06","-3,83201680629472E-23","6,93304608029887E-06","-4,46997230278365E-23","1,38874034140106E-05",0,0,0,0,0,0,package://tn13/meshes/khau2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/khau2_link.STL,,khopmot-2,Coordinate System4,Axis3,khau2_link_joint,revolute,"-0,035935","0,09332",0,0,0,0,khau1_link,0,0,1,1,1,"-0,5","0,5",,,"0,01","0,01",,,,
caster_link,0,"-6,93889390390723E-18","-1,38777878078145E-17",0,0,0,"0,0335103216382911","5,36165146212658E-06",0,0,"5,36165146212658E-06",0,"5,36165146212658E-06",0,0,0,0,0,0,package://tn13/meshes/caster_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://tn13/meshes/caster_link.STL,,ball2-9,Coordinate System13,Axis_caster_link_joint,caster_link_joint,continuous,"0,069677","-0,00034037","-0,0064332",0,0,0,base_link,1,0,0,1,1,,,,,"0,01","0,01",,,,
